issuer_code,official_listing_date,gics_industry_group,exempt_foreign,internet_address,registered_office_address,head_office_telephone,head_office_fax,share_registry,share_registry_telephone,,,,,,,,,,
AD1,23/6/16,Media & Entertainment,No,http://www.applydirect.com.au,"Suite 102, 697 Burke Rd, HAWTHORN EAST, VIC, AUSTRALIA, 3123",+61 (0)3 8199 0455,+61 (0)3 9853 6765,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
ADA,27/2/98,Software & Services,No,http://www.adacel.com,"Unit 29, 3 Westside Avenue, PORT MELBOURNE, VIC, AUSTRALIA, 3207",+613 85307777,+612 9279 0664,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
ADH,17/6/15,Retailing,No,http://www.adairs.com.au,"2 International Court, SCORESBY, VIC, AUSTRALIA, 3179",(03) 8888 4500,-,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
1AD,22/8/16,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.adalta.com.au,"Unit 15, 2 Park Drive, BUNDOORA, VIC, AUSTRALIA, 3083",(03) 9479 5159,(02) 8583 3040,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
ADD,6/2/92,Energy,No,,"Level 12, 225 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8263 0515,(02) 8263 0500,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
ABC,31/5/62,Materials,No,http://www.adbri.com.au,"Level 1, 157 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",(08) 8223 8000,(08) 8215 0030,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,,,,,,,,,,
ADR,26/8/15,Health Care Equipment & Services,No,http://www.adherium.com,"Collins Square, Tower 4, Level 18, 727 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3008",+64 9 307 2771,+61 3 8676 4938,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
ADY,1/12/83,Materials,No,http://www.ady.com.au,"Suite 305, Level 3, 35 Lime Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 9283 6502,+61 2 9283 3963,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
ADT,1/5/18,Materials,No,http://www.adriaticmetals.com,"Ground Floor, Regent House, 65 Rodney Street, Cheltenham, GLOUCESTERSHIRE, GL5, UNITED KINGDOM, .",+44 20 7993 4077,+44 20 7993 4077,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
ADS,17/12/87,Software & Services,No,http://www.adslot.com,"Level 2, 419 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8695 9199,03 9696 0700,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
ANO,24/2/05,Materials,No,http://www.advancenanotek.com,"1821 Ipswich Road, ROCKLEA, QLD, AUSTRALIA, 4106",+61 7 3274 0772,+61 7 3272 7380,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 1, 200 Mary Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 552 270,,,,,,,,,,
ABV,28/5/02,Automobiles & Components,No,http://www.advancedbraking.com,"19 Creative Street, WANGARA, WA, AUSTRALIA, 6065",+61 8 9302 1922,+61 8 9302 1922,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
ASW,10/6/08,Diversified Financials,No,http://www.advancedshare.com.au,"110 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",+61 8 9389 8033,+61 8 6370 4203,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
AV1,18/12/12,Software & Services,No,http://www.adveritas.com.au,"Suite 10, 16 Brodie Hall Drive, BENTLEY, WA, AUSTRALIA, 6102",(08) 9473 2500,(08) 9473 2501,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
ADX,29/1/87,Energy,No,http://www.adxenergy.com.au,"Suite 14, 210 Bagot Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 9381 4266,+61 8 9381 4766,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
AER,1/4/15,Media & Entertainment,No,http://www.aeeris.com/,"Level 12, 225 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 6674 2711,-,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
AML,14/6/07,Materials,No,http://www.aeonmetals.com.au,"Suite 32, Level 7, 88 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(07) 5574 3830,(07) 5574 3568,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
AEI,12/9/00,Commercial & Professional Services,No,http://www.aeris.com.au,"Level 1, 5/26-34 Dunning Avenue, ROSEBERY, NSW, AUSTRALIA, 2018",(02) 8344 1315,(02) 9697 0944,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
AIS,2/2/11,Materials,No,http://www.aerisresources.com.au/,"Suite 1, Level 2, HQ South Tower, 520 Wickham Street, FORTITUDE VALLEY, QLD, AUSTRALIA, 4006",+61 7 3034 6200,+61 7 3034 6290,"LINK MARKET SERVICES LIMITED
                    Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,,,,,,,,,,
AMX,10/12/19,Commercial & Professional Services,No,https://aerometrex.com.au,"51-53 Glynburn Road,, GLYNDE, SA, AUSTRALIA, 5070",+61 8 8362 9911,+61 8 8363 2777,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,,,,,,,,,,
AFL,19/9/03,Commercial & Professional Services,No,https://australianfamilylawyers.com.au/,"C/- Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 3 9070 9994,+61 3 8677 2529,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
AEB,13/1/11,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.algaetec.com.au,"Unit 2, Spectrum Offices, 100-104 Railway Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 9380 6790,+61 8 9381 9161,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
AF1,21/2/20,Not Applic,No,,"., ., ., AUSTRALIA, .",(08) 9420 7888,-,"PERPETUAL CORPORATE TRUST LIMITED
                    123 PITT STREET, SYDNEY, NSW, AUSTRALIA, 2000",,,,,,,,,,,
AFR,18/4/07,Energy,No,http://www.africanenergyresources.com,"Suite 1, 245 Churchill Avenue, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6465 5500,+61 8 6465 5599,"LINK MARKET SERVICES LIMITED
                    LEVEL 4 CENTRAL PARK, 152 ST GEORGES TERRACE, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
A1G,14/2/19,Materials,No,http://african-gold.com,"Suite 23, 513 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",08 6166 9161,-,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
AFT,16/1/92,Technology Hardware & Equipment,No,http://www.aftcorp.net,"Unit 7, 6-8 Herbert Street, ST LEONARDS, NSW, AUSTRALIA, 2065",1300 794 907,+61 2 9437 9104,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
AFP,22/12/15,"Pharmaceuticals, Biotechnology & Life Sciences",Yes,http://www.aftpharm.com,"Level 1, Neilson Building, 129 Hurstmere Road, AUCKLAND, ., NEW ZEALAND, .",+64 9 488 0232,+64 9 488 0234,"COMPUTERSHARE INVESTOR SERVICES LIMITED
                    LEVEL 2, 159 HURSTMERE ROAD, TAKAPUNA   AUCKLAND, NEW ZEALAND, 1039",(64) 9 488 8700,,,,,,,,,,
APT,29/6/17,Software & Services,No,http://www.afterpaytouch.com,"Level 5, 406 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",1300 100 729,+61 3 8540 0465,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
AGL,12/10/06,Utilities,No,http://www.agl.com.au,"Level 24, 200 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9921 2999,(02) 9921 2552,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
AGJ,10/4/03,Real Estate,No,http://www.agriculturallandtrust.com.au,"Level 16, Governor Macquarie, Tower 1 Farrer Place, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8277 0000,(02) 8580 5700,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,,,,,,,,,,
AMN,9/10/07,Materials,No,http://www.agrimin.com.au,"2C Loch Street, NEDLANDS, WA, AUSTRALIA, 6009",08 9389 5363,08 9389 5363,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
AGR,13/2/08,Materials,No,http://www.aguiaresources.com.au/,"Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",292999690,292999629,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
AHL,24/3/97,Retailing,No,http://www.ahalife.com,"c/- Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8072 1400,(02) 8072 1440,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
A1M,4/11/93,Materials,No,http://www.aicmines.com.au,"A8, Level 1, 435 Roberts Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6269 0110,+61 8 6230 5176,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
APW,17/12/04,Real Estate,No,http://www.aimsfunds.com.au,"Level 41, 259 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9217 2727,(02) 9226 0088,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
AGI,17/12/01,Consumer Services,No,http://www.agtslots.com.au/,"10 Holker Street, NEWINGTON, NSW, AUSTRALIA, 2127",(02) 9739 8000,(02) 9648 4327,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
AIZ,1/10/97,Transportation,Yes,http://www.airnz.co.nz,"185 Fanshawe Street, Auckland 1010, ., AUCKLAND, ., NEW ZEALAND, 1010",(649) 336 2400,(649) 336 2667,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
AJL,10/8/99,Capital Goods,No,http://www.lucas.com.au,"Suite 6.01, Level 6, 1 Elizabeth Plaza, NORTH SYDNEY, NSW, AUSTRALIA, 2060",02 9490 4000,02 9490 4200,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,,,,,,,,,,
AQG,7/2/11,Materials,No,http://www.alacergold.com,"9635 Maroon Circle, Suite 300, AUSTRALIA,",+1 303 292 1299,+1 303 297 0538,"LINK MARKET SERVICES LIMITED
                    LEVEL 4 CENTRAL PARK, 152 ST GEORGES TERRACE, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
