issuer_code,listing_date,gics_industry_group,exempt_foreign,internet_address,registered_office_address,head_office_telephone,head_office_fax,registry_id
8EC,2015-12-1,Not Applic,No,http://www.8EC.com.au,"C/- Boardroom Pty Limited, Level 12, 225 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8274 2088,-,8
8VI,2015-12-16,Consumer Services,No,https://8vicglobal.com,"Goldbell Towers, 47 Scotts Road, #03-03/, SINGAPORE, ., SINGAPORE, 228233",+65 6225 8480,-,22
9SP,2016-6-9,Software & Services,No,http://www.9spokes.com,"Level 4, Aecom House, 8 Mahuhu Crescent, AUCKLAND, NZ, NEW ZEALAND, 1010",TBA,-,8
NNT,2013-10-8,Software & Services,No,http://www.99wuxian.com,"Level 26, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9276 2000,(02) 9247 9977,4
ACB,2006-5-19,Energy,No,http://www.a-cap.com.au,"Level 38, 123 Eagle St, BRISBANE, QLD, AUSTRALIA, 4000",+61 (0) 401 876 534,-,1
AYI,2007-10-2,Diversified Financials,No,,"Suite 606, 37 Bligh Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9114 6888,02 9232 8883,19
A2B,1999-12-14,Transportation,No,http://www.a2baustralia.com,"Cabcharge House, 152-162 Riley Street, EAST SYDNEY, NSW, AUSTRALIA, 2010",(02) 9332 9248,(02) 9332 9263,23
ABP,2002-11-14,Real Estate,No,http://www.abacusproperty.com.au,"Level 34, Australia Square, 264-278 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9253 8600,(02) 9253 8616,8
ABL,1974-1-1,Energy,No,http://www.abilene.com.au/,"Level 4, 100 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",+61 3 9692 7222,+61 3 9077 9233,19
AEG,2015-12-16,Not Applic,No,http://www.aepfund.com.au,"LEVEL 12, GROSVENOR PLACE, 225 GEORGE ST, SYDNEY, NSW, AUSTRALIA, 2000",03 8639 1291,03 8611 6534,8
AJC,1986-7-3,Energy,No,http://www.acaciacoal.com,"Ground Floor, 16 Ord Street, West Perth, PERTH, WA, AUSTRALIA, 6005",+61 8 9482 0520,+61 8 9482 0505,22
AKG,1977-6-1,Consumer Services,No,http://www.academies.edu.au,"Level 6, 505 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9224 5555,(02) 9224 5550,17
AX8,2018-2-14,Materials,No,http://www.ax8.com.au/,"Unit 4/16 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",08 9482 0588,08 9482 0505,1
AX1,2004-7-7,Retailing,No,http://www.accentgr.com.au/,"2/64 Balmain St, Richmond, VIC, AUSTRALIA, 3121",+61 3 9427 9422,+61 3 9427 9622,17
ACS,2005-8-26,Materials,No,http://www.accentresources.com.au,"Level 9, 250 Queen Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 9670 0888,+61 3 9670 3883,1
ACQ,2014-5-1,Not Applic,No,http://www.acorncapital.com.au,"C/- Acorn Capital Limited, Level 12, 90 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9639 0522,(03) 9639 0515,19
ACF,2008-6-27,Capital Goods,No,http://www.acrow.com.au,"c/- Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8072 1400,(02) 8072 1440,4
ACR,2004-9-29,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.acrux.com.au,"103-113 Stanley Street, WEST MELBOURNE, VIC, AUSTRALIA, 3003",(03) 8379 0100,(03) 8379 0101,27
ACW,2007-10-16,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.actinogen.com.au,"Suite 901, Level 9, 109Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 8964 7401,+ 61 2 8964 7588,23
AIV,2006-4-11,Materials,No,http://www.activex.com.au,"Suite 2, 3B Macquarie Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9251 9088,(02) 9251 9066,8
ACU,2003-12-5,Real Estate,No,http://www.lmw.com.au,"Level 6, 55 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000",-,-,4
AD1,2016-6-23,Media & Entertainment,No,http://www.applydirect.com.au,"Suite 102, 697 Burke Rd, HAWTHORN EAST, VIC, AUSTRALIA, 3123",+61 (0)3 8199 0455,+61 (0)3 9853 6765,23
ADA,1998-2-27,Software & Services,No,http://www.adacel.com,"Unit 29, 3 Westside Avenue, PORT MELBOURNE, VIC, AUSTRALIA, 3207",+613 85307777,+612 9279 0664,19
ADH,2015-6-17,Retailing,No,http://www.adairs.com.au,"2 International Court, SCORESBY, VIC, AUSTRALIA, 3179",(03) 8888 4500,-,23
1AD,2016-8-22,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.adalta.com.au,"Unit 15, 2 Park Drive, BUNDOORA, VIC, AUSTRALIA, 3083",(03) 9479 5159,(02) 8583 3040,4
ADD,1992-2-6,Energy,No,,"Level 12, 225 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8263 0515,(02) 8263 0500,17
ABC,1962-5-31,Materials,No,http://www.adbri.com.au,"Level 1, 157 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",(08) 8223 8000,(08) 8215 0030,18
ADR,2015-8-26,Health Care Equipment & Services,No,http://www.adherium.com,"Collins Square, Tower 4, Level 18, 727 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3008",+64 9 307 2771,+61 3 8676 4938,19
ADY,1983-12-1,Materials,No,http://www.ady.com.au,"Suite 305, Level 3, 35 Lime Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 9283 6502,+61 2 9283 3963,8
ADT,2018-5-1,Materials,No,http://www.adriaticmetals.com,"Ground Floor, Regent House, 65 Rodney Street, Cheltenham, GLOUCESTERSHIRE, GL5, UNITED KINGDOM, .",+44 20 7993 4077,+44 20 7993 4077,16
ADS,1987-12-17,Software & Services,No,http://www.adslot.com,"Level 2, 419 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8695 9199,03 9696 0700,19
ANO,2005-2-24,Materials,No,http://www.advancenanotek.com,"1821 Ipswich Road, ROCKLEA, QLD, AUSTRALIA, 4106",+61 7 3274 0772,+61 7 3272 7380,15
ABV,2002-5-28,Automobiles & Components,No,http://www.advancedbraking.com,"19 Creative Street, WANGARA, WA, AUSTRALIA, 6065",+61 8 9302 1922,+61 8 9302 1922,16
ASW,2008-6-10,Diversified Financials,No,http://www.advancedshare.com.au,"110 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",+61 8 9389 8033,+61 8 6370 4203,1
AV1,2012-12-18,Software & Services,No,http://www.adveritas.com.au,"Suite 10, 16 Brodie Hall Drive, BENTLEY, WA, AUSTRALIA, 6102",(08) 9473 2500,(08) 9473 2501,16
ADX,1987-1-29,Energy,No,http://www.adxenergy.com.au,"Suite 14, 210 Bagot Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 9381 4266,+61 8 9381 4766,16
AER,2015-4-1,Media & Entertainment,No,http://www.aeeris.com/,"Level 12, 225 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 6674 2711,-,8
AML,2007-6-14,Materials,No,http://www.aeonmetals.com.au,"Suite 32, Level 7, 88 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(07) 5574 3830,(07) 5574 3568,8
AEI,2000-9-12,Commercial & Professional Services,No,http://www.aeris.com.au,"Level 1, 5/26-34 Dunning Avenue, ROSEBERY, NSW, AUSTRALIA, 2018",(02) 8344 1315,(02) 9697 0944,16
AIS,2011-2-2,Materials,No,http://www.aerisresources.com.au/,"Suite 1, Level 2, HQ South Tower, 520 Wickham Street, FORTITUDE VALLEY, QLD, AUSTRALIA, 4006",+61 7 3034 6200,+61 7 3034 6290,24
AMX,2019-12-10,Commercial & Professional Services,No,https://aerometrex.com.au,"51-53 Glynburn Road,, GLYNDE, SA, AUSTRALIA, 5070",+61 8 8362 9911,+61 8 8363 2777,18
AFL,2003-9-19,Commercial & Professional Services,No,https://australianfamilylawyers.com.au/,"C/- Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 3 9070 9994,+61 3 8677 2529,4
AEB,2011-1-13,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.algaetec.com.au,"Unit 2, Spectrum Offices, 100-104 Railway Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 9380 6790,+61 8 9381 9161,16
AF1,2020-2-21,Not Applic,No,,"., ., ., AUSTRALIA, .",(08) 9420 7888,-,33
AFR,2007-4-18,Energy,No,http://www.africanenergyresources.com,"Suite 1, 245 Churchill Avenue, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6465 5500,+61 8 6465 5599,25
A1G,2019-2-14,Materials,No,http://african-gold.com,"Suite 23, 513 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",08 6166 9161,-,16
AFT,1992-1-16,Technology Hardware & Equipment,No,http://www.aftcorp.net,"Unit 7, 6-8 Herbert Street, ST LEONARDS, NSW, AUSTRALIA, 2065",1300 794 907,+61 2 9437 9104,8
AFP,2015-12-22,"Pharmaceuticals, Biotechnology & Life Sciences",Yes,http://www.aftpharm.com,"Level 1, Neilson Building, 129 Hurstmere Road, AUCKLAND, ., NEW ZEALAND, .",+64 9 488 0232,+64 9 488 0234,11
APT,2017-6-29,Software & Services,No,http://www.afterpaytouch.com,"Level 5, 406 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",1300 100 729,+61 3 8540 0465,19
AGL,2006-10-12,Utilities,No,http://www.agl.com.au,"Level 24, 200 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9921 2999,(02) 9921 2552,23
AGJ,2003-4-10,Real Estate,No,http://www.agriculturallandtrust.com.au,"Level 16, Governor Macquarie, Tower 1 Farrer Place, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8277 0000,(02) 8580 5700,18
AMN,2007-10-9,Materials,No,http://www.agrimin.com.au,"2C Loch Street, NEDLANDS, WA, AUSTRALIA, 6009",08 9389 5363,08 9389 5363,3
AGR,2008-2-13,Materials,No,http://www.aguiaresources.com.au/,"Level 12, 680 George Street, SYDNEY, NSW, AUSTRALIA, 2000",292999690,292999629,23
AHL,1997-3-24,Retailing,No,http://www.ahalife.com,"c/- Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8072 1400,(02) 8072 1440,4
A1M,1993-11-4,Materials,No,http://www.aicmines.com.au,"A8, Level 1, 435 Roberts Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6269 0110,+61 8 6230 5176,17
APW,2004-12-17,Real Estate,No,http://www.aimsfunds.com.au,"Level 41, 259 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9217 2727,(02) 9226 0088,19
AGI,2001-12-17,Consumer Services,No,http://www.agtslots.com.au/,"10 Holker Street, NEWINGTON, NSW, AUSTRALIA, 2127",(02) 9739 8000,(02) 9648 4327,17
AIZ,1997-10-1,Transportation,Yes,http://www.airnz.co.nz,"185 Fanshawe Street, Auckland 1010, ., AUCKLAND, ., NEW ZEALAND, 1010",(649) 336 2400,(649) 336 2667,23
AJL,1999-8-10,Capital Goods,No,http://www.lucas.com.au,"Suite 6.01, Level 6, 1 Elizabeth Plaza, NORTH SYDNEY, NSW, AUSTRALIA, 2060",02 9490 4000,02 9490 4200,18
AQG,2011-2-7,Materials,No,http://www.alacergold.com,"9635 Maroon Circle, Suite 300, AUSTRALIA,",+1 303 292 1299,+1 303 297 0538,25
AUQ,2007-5-24,Materials,No,http://www.alararesources.com,"Suite 1.02, 110 Erindale Road, BALCATTA, WA, AUSTRALIA, 6021",+61 8 9240 4211,+968 2449 2491,1
ALY,2007-11-26,Materials,No,http://www.alchemyresources.com.au,"Suite 8, 8 Clive Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 9481 4400,+61 8 9481 4404,3
ALC,2011-6-24,Health Care Equipment & Services,No,http://www.alcidion.com,"Level 4, 100 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",1800 767 873,+61 8 8271 2644,18
AL8,2017-6-9,Materials,No,http://www.alderanresources.com.au,"Suite 23, 513 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6143 6711,+61 8 9388 8824,4
ARN,2018-9-13,Materials,No,http://www.aldororesources.com,"Suite 2, Level 1,, 1 Altona Street, WEST PERTH, WA, AUSTRALIA, 6005",08 6381 0035,-,3
LEP,2003-11-12,Real Estate,No,http://www.alegroup.com.au,"Level 10,, 6 O'Connell Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8231 8588,(02) 8231 8500,17
AJX,1999-12-22,Materials,No,http://www.alexiuminternational.com,"Level 18 Central Park, 152-158 St Georges Tce, PERTH, WA, AUSTRALIA, 6000",+61 8 9278 2538,+61 8 6314 1623,3
AQI,2012-9-19,Materials,No,http://www.alicantominerals.com.au,"Level 3, 24 Outram Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6279 9425,(08) 6500 9989,4
AQX,2004-9-9,Materials,No,http://www.alicequeen.com.au,"Level 2 Rear 568 Chapel Street, (Entrance Oxford Street), SOUTH YARRA, VIC, AUSTRALIA, 3141",03 8669 1408,03 9620 5200,15
A40,2018-12-5,Materials,No,http://www.alitaresources.com.au,"Level 3, 20 Parkland Road, OSBORNE PARK, WA, AUSTRALIA, 6017",08 9389 2600,894892600,16
ALK,1980-10-7,Materials,No,http://www.alkane.com.au,"89 Burswood Road, BURSWOOD, WA, AUSTRALIA, 6100",+61 8 9227 5677,+61 8 9227 8178,1
AHQ,2012-5-29,Materials,No,http://www.allegiancecoal.com.au,"Suite 107, 109 Pitt St, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9233 5579,(02) 9233 1349,19
AMT,2007-12-5,Health Care Equipment & Services,No,http://www.asdm.com.au,"Level 8, 18-20 Orion Road, LANE COVE WEST, NSW, AUSTRALIA, 2066",02 9439 4448,02 9439 4441,23
AQZ,2011-12-20,Transportation,No,http://www.allianceairlines.com.au,"81 Pandanus Avenue, EAGLE FARM, QLD, AUSTRALIA, 4009",(07) 3212 1212,(07) 3212 1522,24
AGS,1994-10-19,Materials,No,http://www.allianceresources.com.au,"Suite 3, 51 - 55 City Road, SOUTHBANK, VIC, AUSTRALIA, 3006",+61 3 9697 9090,+61 3 9697 9091,19
AGE,2011-2-3,Energy,No,http://www.alligatorenergy.com.au,"Suite 2, 128 Bowen Street, SPRING HILL, QLD, AUSTRALIA, 4000",(07) 3839 3904,07 3839 3904,4
AYR,2006-4-6,Materials,No,http://www.alloyres.com,"Suite 6, 7 The Esplanade, MOUNT PLEASANT, WA, AUSTRALIA, 6153",+61 8 9316 9100,+61 8 9315 5475,4
A4N,2007-10-22,Materials,No,,"Level 2, 66 Hunter Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9300 3310,02 9221 6333,17
ALQ,1952-7-18,Commercial & Professional Services,No,http://www.alsglobal.com,"32, Shand Street, STAFFORD, BRISBANE, QLD, AUSTRALIA, 4053",(07) 3367 7900,(07) 3367 8156,8
ARS,2015-12-23,Materials,No,http://www.altresources.com.au,"64 Industrial Drive, MAYFIELD, NSW, AUSTRALIA, 2304",1300 66 0001,1300 66 0001,8
AZI,2009-12-24,Materials,No,http://www.altazinc.com,"Level 3, Suite 3.5, 9 Bowman Street, SOUTH PERTH, WA, AUSTRALIA, 6151",+61 8 9321 5000,+61 8 9321 7177,3
ATC,2010-1-27,Materials,No,http://www.altechchemicals.com,"Suite 8, 295 Rokeby Road, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6168 1555,+61 8 6168 1551,3
ATH,2000-3-28,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.alteritytherapeutics.com,"Level 3, 62 Lygon Street, CARLTON, VIC, AUSTRALIA, 3053",(03) 93494906,(03) 93494906,19
AIQ,2005-5-8,Not Applic,No,http://www.thealternativeinvestmenttrust.com,"Level 16, Governor Macquarie Tower, 1 Farrer Place, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 8277 0000,+61 2 8580 5700,23
1AG,2008-5-16,Commercial & Professional Services,No,http://www.alterra.com.au,"144 Northwood Street, WEST LEEDERVILLE, WA, AUSTRALIA, 6007",+61 8 9204 8400,+61 8 9204 8499,3
AGH,2018-9-21,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.althea.life,"Althea Company Pty Ltd, Suite 2, Level 37, 360 Elizabeth Street, MELBOURNE, VIC, AUSTRALIA, 3000",+613 9427 7552,+613 8672 7687,19
ALU,1999-8-4,Software & Services,No,http://www.altium.com,"Level 6, Tower B, The Zenith, 821 Pacific Highway, CHATSWOOD, NSW, AUSTRALIA, 2067",+61 2 9474 7890,+61 2 9410 0509,17
AME,2012-12-20,Materials,No,http://www.altometals.com.au,"Suite 9, 12-14 Thelma Street, WEST PERTH, WA, AUSTRALIA, 6005",(08) 9381 2808,(08) 9321 6084,3
AJM,2001-1-8,Materials,No,http://www.alturamining.com,"Level 2, 23 Barrack Street, PERTH, WA, AUSTRALIA, 6000",+61 8 9488 5100,+61 8 9488 5199,23
AWC,1961-10-31,Materials,No,http://www.aluminalimited.com,"Level 12, IBM Centre, 60 City Road, SOUTHBANK, VIC, AUSTRALIA, 3006",03 8699 2600,03 8699 2699,19
AMA,2006-8-31,Commercial & Professional Services,No,http://www.amagroupltd.com,"Level 4, 130 Bundall Road, BUNDALL, QLD, AUSTRALIA, 4217",(07) 5628 3272,(07) 3283 1168,19
3DA,2019-12-6,Capital Goods,No,http://www.amaero.com.au/,"Level 1, Tonsley Boulevard, CLOVELLY PARK, SA, AUSTRALIA, 5042",03 9905 9847,-,4
ANL,2006-12-14,Materials,No,http://www.amanigold.com,"Suite 6, 149 Brebner Drive, WEST LAKES, SA, AUSTRALIA, 5021",1300 258985,-,1
AYS,2015-7-15,Utilities,No,http://www.amaysim.com.au,"Level 6, 17-19 Bridge Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8203 0100,-,17
AMO,2004-12-10,Technology Hardware & Equipment,No,http://www.ambertech.com.au,"Unit 1, 2 Daydream Street, WARRIEWOOD, NSW, AUSTRALIA, 2102",(02) 9998 7600,(02) 9999 0770,8
AMB,1999-11-23,Commercial & Professional Services,No,https://www.ambition.com.au,"Level 5, 55 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9249 5000,(02) 9249 5050,18
AMH,2000-2-10,Not Applic,No,http://www.amcil.com.au/,"Level 21, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9650 9911,(03) 9650 9100,19
AMC,1969-8-28,Materials,Yes,http://www.amcor.com,"Level 11, 60 City Road, SOUTHBANK, VIC, AUSTRALIA, 3006",61 3 9226 9000,61 3 9226 9050,19
ABR,2017-7-28,Materials,No,http://www.americanpacificborate.com,"Level 24, Allendale Square, 77 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",08 6141 3145,08 6141 3101,1
ARR,2011-2-17,Materials,No,http://www.bhpl.net.au,"Suite 706, Level 7, 89 York Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8054 9779,(02) 9252 8400,18
AL3,2020-4-20,Capital Goods,No,http://www.aml3d.com,"14 Pentland Road, SALISBURY SOUTH, SA, AUSTRALIA, 5106",08 8258 2658,-,18
AMP,1998-6-15,Diversified Financials,No,http://www.amp.com.au/,"AMP Building, 33 Alfred Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9257 5000,(02) 9257 7178,17
ATX,2013-12-23,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.ampliatx.com,"Level 29, 55 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(02) 8003 3650,(02) 9225 5050,19
ALD,1980-12-31,Energy,No,http://www.caltex.com.au/,"Level 24, 2 Market Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9250 5000,(02) 9250 5018,8
ALT,2000-10-25,Health Care Equipment & Services,No,http://www.analyticamedical.com,"C/- Avance Chartered Accountants, 222 Bazaar Street, MARYBOROUGH, QLD, AUSTRALIA, 4650",1300 554 474,02 9287 0303,24
ANR,2014-10-16,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://anataralifesciences.com,"433 Logan Road, Stones Corner, BRISBANE, QLD, AUSTRALIA, 4120",07 3831 8866,-,15
ADN,1996-9-17,Materials,No,http://www.andromet.com.au,"69 King William Road, UNLEY, SA, AUSTRALIA, 5061",(08) 8271 0600,(08) 8271 0033,18
ATM,1999-8-9,Materials,No,http://www.antam.com,"c/- Eko Endriawan, Gedung Aneka Tambang 6th Floor, Lingkar Selatan, Tanjung Barat, AUSTRALIA,",+62 21 789 1234,+62 21 781 2822,17
AS1,2018-2-21,"Food, Beverage & Tobacco",No,http://www.angelseafood.com.au,"48 Proper Bay Road, PORT LINCOLN, SA, AUSTRALIA, 5606",0456 401 272,-,18
AAR,1986-11-13,Materials,No,http://www.anglo.com.au,"Suite 2, 6 Lyall Street, SOUTH PERTH, WA, AUSTRALIA, 6151",+61 8 9382 8822,555 555 555,3
AGG,1999-11-16,Materials,Yes,http://www.anglogoldashanti.com,"76 Jeppe Street, Newtown, AUSTRALIA,",+27 11 637 6000,+27 11 637 6624,16
AWV,2011-5-18,Materials,No,http://www.anovametals.com.au,"Level 11, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",+61 08 9481 0389,+61 08 9463 6103,25
ANN,1985-8-22,Health Care Equipment & Services,No,http://www.ansell.com,"Level 3, 678 Victoria Street, Richmond, VIC, AUSTRALIA, 3121",(03) 9270 7270,(03) 9270 7300,19
ANA,2012-2-14,Energy,No,http://www.ansilaenergy.com.au/,"Level 1, 89 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",+61 8 9226 2011,+61 8 9226 2099,16
ASN,2010-7-8,Materials,No,http://www.ansonresources.com/,"Level 1, 35 Outram St, WEST PERTH, WA, AUSTRALIA, 6005",+61 478 491 355,08 6313 4133,3
ADO,2000-4-7,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.anteodx.com,"Unit 4, 26 Brandl Street, Eight Mile Plains, QLD, AUSTRALIA, 4113",(07) 3219 0085,(07) 3219 0553,8
AVR,2004-3-24,Health Care Equipment & Services,No,http://www.anteristech.com,"Toowong Tower, Level 3, 9 Sherwood Rd, TOOWONG, QLD, AUSTRALIA, 4066",+61 1300 550 310,+61 1300 880 398,16
AZY,2011-4-20,Materials,No,http://www.antipaminerals.com.au,"Level 2, 16 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 9481 1103,+61 8 9481 0117,16
APL,2016-10-18,Not Applic,No,https://antipodespartners.com/apl/,"Level 19, 307 Queen Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 010 311,02 8970 7799,8
ANP,2001-12-20,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.antisense.com.au/,"6 - 8 Wallace Avenue, TOORAK, VIC, AUSTRALIA, 3142",(03) 9827 8999,+61 3 9859 7701,8
APE,1957-4-17,Retailing,No,http://www.apeagers.com.au,"5 Edmund Street, NEWSTEAD, QLD, AUSTRALIA, 4006",(07) 3608 7100,(07) 3608 7101,15
APA,2000-6-13,Utilities,No,http://www.apa.com.au,"Level 25, 580 George Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9693 0000,02 9693 0093,23
AHX,2015-12-15,Health Care Equipment & Services,No,http://www.apiam.com.au,"27 - 33 Piper Lane, EAST BENDIGO, VIC, AUSTRALIA, 3550",(03) 5445 5999,-,8
AQR,2017-7-27,Real Estate,No,http://crreit.com.au,"Level 30, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 8656 1000,-,27
ADI,2013-12-3,Real Estate,No,http://www.industriareit.com.au,"APN Funds Management Limited, Level 30, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 8656 1000,TBA,27
APD,2005-6-23,Diversified Financials,No,http://www.apngroup.com.au,"Level 30, 101 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 8656 1000,(03) 8656 1010,27
AOP,2005-6-29,Materials,No,http://www.apolloconsolidated.com.au,"1202 Hay Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 9320 4700,+61 8 6314 1557,16
